loc_x,loc_y,loc_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,t,t_total,tick
41.624279,-653.841736,503.149994,0.0,0.0,0.0,0.0,0.0,0.0,0.089225,0.089225,1
41.624279,-653.841736,503.149994,0.0,0.0,0.0,0.0,0.0,0.0,0.106348,0.195572,2
41.624279,-653.841736,503.149994,0.0,0.0,0.0,0.0,0.0,0.0,0.106959,0.302531,3
41.614407,-660.23938,503.149994,-0.223414,-144.77211,0.0,-2.518059,-1631.701782,0.0,0.088725,0.391256,4
41.569244,-689.502014,503.149994,-0.562374,-364.387207,0.0,-3.160911,-2047.980469,0.0,0.107235,0.498491,5
41.489471,-741.177551,501.635315,-0.895819,-580.221191,0.0,-3.163985,-2048.0,0.0,0.105388,0.603878,6
41.408123,-793.867249,487.65802,-0.926402,-599.999268,-34.38784,-0.34826,-225.221176,-391.588623,0.087816,0.691695,7
41.30965,-857.645813,478.466095,-0.926404,-599.999329,-138.559494,-0.000021,-0.000574,-980.001038,0.106297,0.797992,8
41.211357,-921.308044,458.247955,-0.926406,-599.999329,-242.541153,-0.000018,0.0,-979.998474,0.106104,0.904096,9
41.129314,-974.444336,432.925262,-0.926406,-599.999268,-329.330597,0.000001,0.000689,-980.000854,0.088561,0.992657,10
41.032776,-1036.970215,393.284485,-0.926406,-599.999268,-431.45636,0.0,0.0,-980.00061,0.10421,1.096867,11
40.938976,-1097.719238,344.576965,-0.926406,-599.999268,-530.680115,0.0,0.0,-980.004517,0.101248,1.198115,12
40.855404,-1151.843384,292.718689,-0.926406,-599.999268,-619.082886,0.0,0.0,-980.003113,0.090207,1.288321,13
40.758469,-1214.62854,228.43895,-0.793752,-514.234985,0.0,1.25507,811.433533,5857.270508,0.105695,1.394016,14
40.739826,-1226.705444,228.43895,0.0,0.0,0.0,7.596623,4921.501465,0.0,0.104487,1.498504,15
40.739826,-1226.705444,228.43895,0.0,0.0,0.0,0.0,0.0,0.0,0.099865,1.598369,16
40.739826,-1226.705444,228.43895,0.0,0.0,0.0,0.0,0.0,0.0,0.105826,1.704195,17
40.739826,-1226.705444,228.43895,0.0,0.0,0.0,0.0,0.0,0.0,0.088514,1.792709,18
-26.593689,-648.29834,503.149994,0.0,0.0,0.0,0.0,0.0,0.0,0.087466,0.087466,1
-26.593689,-648.29834,503.149994,0.0,0.0,0.0,0.0,0.0,0.0,0.104597,0.192063,2
-26.593689,-648.29834,503.149994,0.0,0.0,0.0,0.0,0.0,0.0,0.105896,0.297959,3
-26.593689,-648.29834,503.149994,0.0,0.0,0.0,0.0,0.0,0.0,0.088964,0.386923,4
-27.340261,-658.029846,503.149994,-13.961143,-181.984253,0.0,-130.500809,-1701.085083,0.0,0.106981,0.493904,5
-29.845512,-690.68573,503.149994,-30.559875,-398.346069,0.0,-156.656723,-2041.995361,0.0,0.105956,0.59986,6
-33.231186,-735.743103,502.755493,-41.479488,-579.938538,0.0,-122.928413,-2044.291626,0.0,0.088829,0.688689,7
-36.741272,-799.266235,479.314392,-29.032578,-599.297241,-34.321011,117.385727,-182.570236,-323.678436,0.106034,0.794724,8
-39.284618,-852.295166,472.441223,-28.711378,-599.312622,-121.034599,3.630075,-0.173829,-980.004456,0.088483,0.883206,9
-42.296017,-915.154114,454.35611,-28.711378,-599.312622,-223.821899,0.0,0.0,-979.999084,0.104885,0.988091,10
-45.168556,-975.114624,427.058228,-28.711378,-599.312622,-321.86969,0.0,0.0,-979.988159,0.10005,1.088141,11
-48.041756,-1035.088867,389.941101,-28.711378,-599.312622,-419.940002,0.0,0.0,-980.007751,0.100071,1.188212,12
-50.928089,-1095.337158,342.772858,-28.711378,-599.312622,-518.458679,0.0,0.0,-980.00531,0.100529,1.288741,13
-53.980743,-1159.057251,282.110046,-28.711378,-599.312622,-622.654419,0.0,0.0,-979.990234,0.106323,1.395064,14
-56.493603,-1211.51001,228.43634,-25.885389,-540.31311,0.0,32.106441,670.301453,7074.061035,0.088019,1.483084,15
-57.113079,-1224.44043,228.43634,0.0,0.0,0.0,243.086517,5074.01416,0.0,0.106486,1.58957,16
-57.113079,-1224.44043,228.43634,0.0,0.0,0.0,0.0,0.0,0.0,0.100588,1.690158,17
-57.113079,-1224.44043,228.43634,0.0,0.0,0.0,0.0,0.0,0.0,0.100371,1.790529,18
8.828112,-668.162231,503.149963,0.0,0.0,0.0,0.0,0.0,0.0,0.104765,0.104765,1
8.828112,-668.162231,503.149963,0.0,0.0,0.0,0.0,0.0,0.0,0.107843,0.212608,2
8.292698,-677.878723,503.149963,-10.027387,-181.972702,0.0,-112.683281,-2044.927734,0.0,0.088987,0.301596,3
6.501933,-710.376587,503.149963,-21.919025,-397.774231,0.0,-112.685143,-2044.934814,0.0,0.10553,0.407125,4
4.033382,-755.1745,494.768982,-12.190522,-221.225449,0.0,91.868469,1667.190308,0.0,0.105896,0.513021,5
3.864805,-758.233704,492.244202,0.0,0.0,0.0,137.439407,2494.158447,0.0,0.088697,0.601719,6
3.864805,-758.233704,492.244202,0.0,0.0,0.0,0.0,0.0,0.0,0.104488,0.706207,7
3.864805,-758.233704,492.244202,0.0,0.0,0.0,0.0,0.0,0.0,0.103453,0.80966,8
3.864805,-758.233704,492.244202,0.0,0.0,0.0,0.0,0.0,0.0,0.105906,0.915565,9
3.334285,-767.861267,479.330078,-9.981566,-181.139023,0.0,-112.682823,-2044.89502,0.0,0.088581,1.004147,10
1.895295,-793.975098,464.417114,-15.453399,-280.438599,-65.547798,-53.6087,-972.859009,-642.185669,0.10207,1.106216,11
0.104332,-826.476379,451.712921,-17.875446,-324.392578,-170.870621,-22.536257,-408.975525,-979.989929,0.107473,1.21369,12
-1.550334,-856.504211,432.772278,-19.071465,-346.09726,-257.527527,-13.525842,-245.459534,-980.008118,0.088425,1.302114,13
-3.579988,-893.337158,399.815521,-19.071465,-346.09726,-361.822693,0.0,0.0,-980.011169,0.106422,1.408537,14
-5.552292,-929.129272,357.156555,-19.071465,-346.09726,-463.170868,0.0,0.0,-979.982544,0.103418,1.511955,15
-7.239323,-959.744507,312.351044,-19.071465,-346.09726,-549.860046,0.0,0.0,-979.992554,0.088459,1.600414,16
-9.274276,-996.673645,248.101456,-19.071465,-346.09726,-654.42749,0.0,0.0,-980.00531,0.106701,1.707115,17
-10.254879,-1014.468933,228.437592,0.0,0.0,0.0,181.419571,3292.291504,6225.319336,0.105124,1.812239,18
-10.254879,-1014.468933,228.437592,0.0,0.0,0.0,0.0,0.0,0.0,0.087688,1.899927,19
-10.254879,-1014.468933,228.437592,0.0,0.0,0.0,0.0,0.0,0.0,0.106169,2.006096,20
-10.254879,-1014.468933,228.437592,0.0,0.0,0.0,0.0,0.0,0.0,0.103107,2.109203,21
-10.254879,-1014.468933,228.437592,0.0,0.0,0.0,0.0,0.0,0.0,0.100159,2.209362,22
-10.254879,-1014.468933,228.437592,0.0,0.0,0.0,0.0,0.0,0.0,0.105812,2.315174,23
-23.150122,-643.855713,502.990479,0.0,0.0,0.0,0.0,0.0,0.0,0.088362,0.088362,1
-23.150122,-643.855713,502.990479,0.0,0.0,0.0,0.0,0.0,0.0,0.107061,0.195423,2
-23.150122,-643.855713,502.990479,0.0,0.0,0.0,0.0,0.0,0.0,0.104656,0.300079,3
-23.299557,-647.651428,502.990479,-4.249104,-107.931335,0.0,-47.895298,-1216.586792,0.0,0.088717,0.388796,4
-24.161346,-670.508484,502.990479,-11.591864,-313.319855,0.0,-73.169136,-2046.655518,0.0,0.100353,0.489149,5
-25.754084,-714.003052,502.990479,-18.928394,-518.799194,0.0,-73.075119,-2046.665894,0.0,0.100397,0.589546,6
-27.890997,-772.708435,486.662445,-21.803032,-599.603638,0.0,-28.872375,-811.586182,0.0,0.099564,0.68911,7
-30.083742,-833.013916,481.705841,-21.800941,-599.603699,-98.564064,0.020785,-0.000607,-979.991943,0.100576,0.789686,8
-32.255142,-892.737488,467.026978,-21.799633,-599.603638,-196.177063,0.013136,0.000613,-979.995483,0.099606,0.889292,9
-34.477428,-953.861938,441.93634,-21.799633,-599.603638,-296.079651,0.0,0.0,-979.993774,0.101942,0.991234,10
-36.702114,-1015.052307,406.617859,-21.799633,-599.603638,-396.089996,0.0,0.0,-979.987366,0.102053,1.093287,11
-38.996597,-1078.162476,359.499817,-21.799633,-599.603638,-499.238129,0.0,0.0,-979.981995,0.105255,1.198542,12
-41.307426,-1141.722168,301.07309,-21.799633,-599.603638,-603.120972,0.0,0.0,-980.036133,0.105999,1.304541,13
-43.181011,-1193.255615,245.617905,-21.799633,-599.603638,-687.3479,0.0,0.0,-980.008179,0.085945,1.390486,14
-44.330162,-1224.862915,228.436676,-1.338415,-36.810577,0.0,193.171234,5313.243652,6489.146484,0.105923,1.496408,15
-44.330162,-1224.862915,228.436676,0.0,0.0,0.0,12.655138,348.055756,0.0,0.105761,1.602169,16
-44.330162,-1224.862915,228.436676,0.0,0.0,0.0,0.0,0.0,0.0,0.088726,1.690895,17
-44.330162,-1224.862915,228.436676,0.0,0.0,0.0,0.0,0.0,0.0,0.101624,1.792519,18
-44.330162,-1224.862915,228.436676,0.0,0.0,0.0,0.0,0.0,0.0,0.100174,1.892693,19
-44.330162,-1224.862915,228.436676,0.0,0.0,0.0,0.0,0.0,0.0,0.100449,1.993141,20
-44.330162,-1224.862915,228.436676,0.0,0.0,0.0,0.0,0.0,0.0,0.102194,2.095335,21
